,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
2481,"
New Riff New Make Bourbon Mash
",White,"['cost-2', 'spirit-cost']","
80

",3.5,"
New Riff // Kentucky, USA
","New Riff opened in 2014 with Brian Sprance as the Head Distiller. The company sells mostly Kentucky Bourbon but they have branched out into rye whiskey and gin as well. The New Make series is their take on traditional Kentucky White Dog. The New Make Bourbon mash consists of corn (non-GMO), rye, and malted barley. This whiskey is cut to 90 proof and bottled unfiltered.",NAS,45.0,"Distilled from a cereal mash bill comprised of any grain(s). Generally unaged except in the US, where it must age at least briefly in oak for an unspecified amount of time. Sometimes sold as ""moonshine"" although that is a misnomer. ",unaged,"""Imagine a frequently used mortar and pestle. It's an aromatic delight with powdery fumes of Christmas spices such as star anise, cinnamon, and dried orange peel. The palate is lean throughout. Big herbs and sweet resin at first but then anise steals the spotlight. The finish is a balance of ground up cacao and cornmeal.""",0,0,40,50,10,40,45,15,0,0,10,0,10,0
2482,"
Arran 17 Year
",Single Malt,"['cost-4', 'spirit-cost']","
80

",4.1,"
Arran // Islands, Scotland
","Founded in 1993, the Arran Distillery lies upon the Isle of Arran, one of the southernmost islands of Scotland, coming just off the Kintyre Peninsula. With its quint coastal villages, northern snow-capped mountains and southern woodland, the Isle has more than once been said to be a “miniature Scotland”. Arran's 17 year was released as the second in a trilogy of limited releases after their 16 Year and before their 18 Year release. This was matured in ex-sherry casks. ",17 Year,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-Sherry Cask,"""A subtle nose beginning with honey-vanilla and marzipan mixed with nuts and spices. Green apples soon break through with lemongrass mingling throughout along with licorice on the back end of the nose. Fruit sherbet opens on the palate with oak now becoming more prevalent with vanilla and light spices dotted throughout. Spiced fruits then make an appearance with sherry joining the green apples first seen on the nose.  The finish is long and full. """,10,10,50,30,30,10,20,55,5,15,65,45,65,55
2483,"
Jameson Lively
",Blended,"['cost-2', 'spirit-cost']","
80

",3.39,"
Jameson // Ireland
","Released in 2016, the Jameson Deconstructed Series explores different aspects of the production process and examines their contribution to the overall flavor in the core range. Brian Nation, Jameson's Master Distiller, has ""deconstructed"" the taste of Jameson into three main components: Bold, Lively, and Round and selected vattings to emphasize each of these aspects of the whiskey. Jameson Lively emphasizes the contribution of grain whiskey to Jameson's characteristic taste. Triple distilled it's bottled at 40% ABV. Note: This is a Global Travel Retail exclusive.",NAS,40.0,Comprised of both single malt(s) and single grain(s) often from many different distilleries; if Scotch or Irish must be aged for at least three years in oak barrels; Irish may include single pot still whiskey in the blend.,,"""Focusing on the grain influence, this expression provides a very citrusy nose (particularly lime zest) and pine--almost eucalyptus. Very light and fresh, well balanced between floral and herbal aromas. The sweetness increases on the palate with hints of nougat and Turkish Delight, but keeping the citrusy side, almost like a sweet lemon pie. Light hints of vanilla and cinnamon are found in the background, comforting the sweetness of this dram. The finish is short and crisp, with the cinnamon kicking in.""",0,0,15,30,0,10,20,50,0,0,30,60,30,40
2484,"
Central Standard Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
80

",2.39,"
Central Standard // Wisconsin, USA
","Central Standard Bourbon is distilled in Milwaukee, Wisconsin. Produced in a pot still, it's made from a mash of corn, rye, and barley, and aged for less than two years in new, charred oak barrels.",NAS,45.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Taking in the aroma of Central Standard's Bourbon, one is hit with a blast of young whiskey. The grain comes through strongly on the palate, particularly the spiciness of the rye. It's precise is age is unknown -- it's less than two years -- and although the short time in oak provides some necessary vanilla sweetness, it's not yet enough to tame this whiskey.""",0,0,50,20,10,20,15,20,10,0,30,10,0,0
2485,"
Redemption Straight Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
80

",3.24,"
Redemption // Indiana, USA
","Sourced from Midwest Grain Products or MGP in Indiana, Redemption Straight Bourbon breaks from the label's tradition of rye whiskey and high-rye bourbon. This bottling is made from a mash bill of 75% corn, 21% rye, and 4% malted barley (as opposed to 60% corn and 36% rye in their standard bottling). The whiskey is aged for at least two years in new, charred American oak and bottled at 84 proof. Note: Updated packaging as of November 2016.",NAS,42.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","New, Charred American Oak","""The aroma is tightly bound to the alcohol. Dry aromas of wood, vanilla, toast, and corn are present but with the heat of ethanol in tow. The palate delivers what the nose promises but with a heavy wood char finish. The whiskey’s best quality is its soft and oily texture. Makes for a welcoming sip to even the newest of whiskey drinkers.""",10,10,45,0,20,25,25,10,10,10,50,10,0,10
2486,"
Amador Whiskey Co. Double Barrel Bourbon
",Bourbon,"['cost-2', 'spirit-cost']","
80

",3.51,"
Amador Whiskey Co. // Kentucky (Finished and Bottled in California), USA
","Amador Whiskey Co. Double Barrel Bourbon began its journey in Kentucky, where almost 300 barrels of 3- to 10-year bourbons aging in charred American oak were purchased. These barrels traveled to St. Helena, California, where Amador Whiskey Co (owned by Trinchero Family Estates) transfers the bourbon into the family's Napa Valley wine barrels for an extra 6 months of finishing. It's bottled at 43.4% ABV and was launched in the summer of 2015.",NAS,43.4,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","New, Charred American Oak and Ex-Napa Valley Wine","""Despite the obvious ethanol on the nose, there's a lot to like. The aromatics include toasted oak, dark red fruit, vanilla and spice. On the palate the top note is grain-heavy, but underneath is a pleasant sweetness with distinct cherry, cinnamon and clove flavors. The finish is long and oaky and has a touch of dark chocolate.""",35,35,60,25,15,40,35,45,10,10,40,35,35,15
2487,"
The Glenrothes Robur Reserve
",Single Malt,"['cost-2', 'spirit-cost']","
80

",3.43,"
The Glenrothes // Speyside, Scotland
","The Glenrothes Robur Reserve is Travel Retail Exclusive bottling from the Speyside distillery, aged in American oak with a large portion aged in first-fill ex-oloroso sherry oak casks. The name ""Robur"" comes from the Latin name of Spanish or European oak: Quercus robur. It's been bottled at 40% ABV. ",NAS,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Ex-Oloroso Sherry Spanish Oak and American Oak,"""Hints of copper coins to open things up, but there's also notes of sultanas and caramel. Plenty of vanilla and a whiff of mush banana too. Similar sweet notes appear on the palate, which is pretty creamy. Now there's a fair amount of wood spices too, though. An average entry-level whisky that's not completely balanced.""",0,0,20,10,25,25,20,40,0,0,40,20,25,10
2488,"
Double Diamond Limited Edition Bourbon 267
",Bourbon,"['cost-2', 'spirit-cost']","
80

",1.0,"
Downslope Distilling // Colorado, USA
","Double Diamond Limited Edition Bourbon 267 was distilled by Downslope Distilling on November 27, 2012 and aged in an American oak cask (cask no. WR-157). ",,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
",American Oak,"""If there's one word to describe this bourbon from Downslope Distilling, it's ""vanilla."" Not as in plain, but as in the vanilla notes contributed by oak aging. They dominate this spirit, giving it a pleasant sweetness for such a young whiskey, which also carries a hint of spice. It's a little one-note, but enjoyable as lighter, sweeter bourbon.""",0,0,30,0,30,20,20,40,0,0,50,0,10,20
2489,"
Harvest Spirits John Henry Single Malt
",American Single Malt,"['cost-3', 'spirit-cost']","
80

",3.55,"
Harvest Spirits // New York, USA
","Harvest Spirits holds New York's first farm-distillery license and is located on a 200-acre apple farm in the Upper Hudson Valley. Their single malt is made from 2-row malted barley, then rested in new oak before then being aged in their own Applejack barrels for two years.",NAS,42.0,"Made in the USA from 100% malted barley. Distilled at one distillery. Matured in oak casks no larger than 700L. Distilled to no higher than 160 proof (80% ABV). Bottled at 80 proof (40% ABV) or higher. (This is the proposed Standard of Identity by the American Single Malt Whiskey Commission.)

",new American oak finished in former Applejack barrels,"""Bright golden in color, this whiskey lets you know right away it's going to be a gentle dram focused more on subtle complexities than bold flavors. There's light and subtle intermingling flavors of clove, juicy apples, apricot, and black pepper. The whiskey is crying out for an additional layer of secondary flavor that perhaps a bit more aging could have provided, but lovers of American single malts will want to add this intriguing whiskey to their collections.""",25,25,40,40,10,10,10,10,0,30,30,20,30,45
2490,"
Glengarry Single Malt 12 Year
",Single Malt,"['cost-2', 'spirit-cost']","
80

",2.7,"
Glengarry // Highlands, Scotland
","Glengarry is named for Alexander Ranaldson MacDonnell of the Highland Glengarry clan, known for wearing bonnets instead of tartans or kilts in homage to a time centuries ago when they were banned. This 12 year old malt from Loch Lomond distillery is aged in a combination of casks - bourbon, re-fill and re-charred oak. ",12 Year,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.","ex-bourbon, re-fill, re-charred ","""The first sips reveal an unmistakable flavor of packaged fruit cup with peaches, pineapple and mango. A waxy vanilla note enters the palate with some cedar, allspice and nutmeg. With a drop of water, some floral and smoky notes emerge. Finishes smooth, with an assertive tangerine flavor that lingers. """,10,10,20,0,0,60,60,70,0,0,40,25,50,30
2491,"
Egan's 10 Year Single Malt Irish Whiskey
",Single Malt,"['cost-2', 'spirit-cost']","
80

",3.64,"
Egan's // Ireland
","Patrick and Henry Egan founded P&H Egan Ltd. in 1852 and it enjoyed a long run of wholesaling, bottling, malting and brewing operations until they shuttered in 1968 when competition in the marketplace got the best of them. The brand has now been revived by 5th and 6th generation members of the Egan family. This is a 100% pot-still single malt aged 10 years in American oak and bottled non-chill filtered. ",10 Year,47.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",used American oak ,"""This rich and viscous whiskey has an aroma of fresh pumpernickel bread.  It has that classic pencil lead aftertaste of pot-still whiskey mixed in with baking spices. The mid-palate is very earthy for an Irish whiskey, with some honeyed sweetness only entering toward the finish, which goes a bit hot. """,15,15,40,10,25,60,50,20,0,0,10,0,0,5
2492,"
Ironbark Corn Rye Moonshine
",White,"['cost-4', 'spirit-cost']","
80

",5.0,"
Ironbark // New South Wales, Australia
","Australia's ""fastest growing distillery in the Hawkesbury region"", Ironbark distillery is not your average upstart distillery; Director/Master Alchemist Reg Papps has a past career in industrial distillation spanning some 26 years, and created his Corn Rye Moonshine using a traditional recipe after establishing the Ironbark Distillery in 2013. Previously described as ""a man you could only imagine would make moonshine"", Reg has a passion for keeping things such as moonshine distillation out of the history books and into our world.  Note:  Available only in Australia",NAS,45.0,"Distilled from a cereal mash bill comprised of any grain(s). Generally unaged except in the US, where it must age at least briefly in oak for an unspecified amount of time. Sometimes sold as ""moonshine"" although that is a misnomer. ",,"""A cooked vegetable and malt sweetness is notable on the nose, the corn evident straight away. Below that is a sulfur tinge that is stained with spice and malt biscuits kept in a plastic container--in an appealing way. The first drop on the tongue is amazingly sweet, with the cooked corn moving over a bitter tang of minerals and a slightly metallic and feinty hint. Toasted rye makes a prevalent appearance, bringing a new area of flavors to the glass. The finish is short with coal gas and minerals coming through with cordite sweetness running over toasted rye and boiled corn.""",30,30,20,20,0,0,0,60,30,30,0,50,40,0
2493,"
Spinnaker Speyside Single Malt 
",Single Malt,"['cost-2', 'spirit-cost']","
80

",3.5,"
Spinnaker // Speyside, Scotland
",This is a bit of a mystery whisky. Not much information is known apart from what is on the label: The whisky was distilled in “one of Scotland’s foremost distilleries until it has completed the maturation process.” There is no age statement.,NAS,40.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",,"""Mild sea air and grains appear on the nose alone with some mild butterscotch. The palate is as gentle as the whisky's mild appearance would imply. There's some light woodiness and creamy malt into a citrusy, dry finish. There's nothing too inspiring here, just a zesty, tangy, and light Speyside dram for those curious about the style, but not looking to break the bank.""",20,20,60,40,20,40,40,20,60,50,20,40,30,40
2494,"
Kentucky Tavern Bourbon
",Bourbon,"['cost-1', 'spirit-cost']","
80

",2.58,"
Sazerac // USA
","Created by James Thompson, famous founder of the Glenmore Distillery, Kentucky Tavern has been around since the early 1900’s. The bourbon was named after a bar and restaurant in Louisville. It’s aged for a minimum of four years in charred, new American oak barrels.",,40.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Big notes of candied bananas and vanilla on the nose, and with a little water, you’ll pull out some mint. The palate is quite viscous. You get some bitterness from unripe bananas upfront but this is soon washed away by unabashed wood spice and dark chocolate. The finish is a hot amalgamation of remaining spice and raw alcohol.""",0,0,50,10,50,40,50,40,0,10,50,10,40,0
